dep,N,beta_ind_own,se_ind_own,t_ind_own,beta_recession,se_recession,t_recession,beta_ind_own_x_rec,se_ind_own_x_rec,t_ind_own_x_rec,beta_c_firm_size,se_c_firm_size,t_c_firm_size,beta_c_dollar_vol,se_c_dollar_vol,t_c_dollar_vol,within_R2
amihud_illiq,239287,0.08535632562141278,0.02317925740505796,3.682444356599065,-21.380448669167958,14283417.715280226,-1.4968720438873264e-06,-0.21453983081107006,0.08465880320775085,-2.534170371917425,0.010886629742128805,0.0011495381510578482,9.47043795989765,-0.024682370643901837,0.0014180371570309612,-17.406011204657684,0.09164540098268181
volatility,239287,-0.07432588404462638,0.022811129374498605,-3.2583167113031237,-109.44997929205155,22929515.795932762,-4.773322745501053e-06,0.1414608996976251,0.10474486253047659,1.3505282863535728,-0.09843950197947736,0.0031250403678442164,-31.500233722543893,0.07476805024707951,0.0024543356665020556,30.463661212909685,0.22167757779843789
price_info,239287,-3.2654853750731845,0.23665690290275657,-13.798394785953013,-373.55891260036003,395776272.33328557,-9.4386384104852e-07,-0.5263175805544897,0.7824148651456161,-0.6726835135686439,-0.3522153144786931,0.026736953862871934,-13.17335236785497,0.1580586018663509,0.01521012091059117,10.391672939055397,0.029650435175532897
