rank_type,dep_var,cycle,size_decile,beta_ind_own,se_ind_own,t_ind_own,p_ind_own,stars,ci95_lo,ci95_hi,nobs,entities,time_periods,score
dep_top5,price_info,exp_2009Q3_2019Q3,4,-18.053666681440077,1.9968678436462084,-9.040992241366727,0.0,***,-21.967527654986647,-14.139805707893508,6966,1270,41,80.00319783938703
dep_top5,price_info,exp_2009Q3_2019Q3,5,-8.9451774635575,1.1353710517259834,-7.878637957132253,3.774758283725532e-15,***,-11.170504724940427,-6.719850202174571,9388,1618,41,72.06821826698977
dep_top5,price_info,exp_2020Q3_2023Q4,5,-11.08549478031045,1.4486463580507596,-7.652312601142108,3.019806626980426e-14,***,-13.924841642089937,-8.246147918530962,2982,911,14,61.22374099430814
dep_top5,price_info,exp_1993Q1_2000Q4,2,-19.052588334539838,1.7279738998008576,-11.02596997369901,0.0,***,-22.43941717814952,-15.665759490930157,153,69,8,55.53728815315776
dep_top5,price_info,exp_2009Q3_2019Q3,7,-4.011338277748175,0.731905436001818,-5.4806783505543075,4.323879698731048e-08,***,-5.4458729323117385,-2.5768036231846114,13908,2044,41,52.28726848796083
dep_top5,volatility,rec_2001Q1_2001Q4,7,-1.88112059771018,0.42202109569379537,-4.457408923166863,1.0323339185935865e-05,***,-2.708281945270019,-1.053959250150341,901,412,4,30.33094948043794
dep_top5,volatility,exp_2020Q3_2023Q4,9,-0.2145725525129726,0.07366334123067315,-2.9128810739258912,0.003590471772196846,***,-0.358952701325092,-0.07019240370085322,10036,1554,14,26.83938392429353
dep_top5,volatility,exp_2009Q3_2019Q3,7,-0.13763590589502311,0.05708847526822944,-2.410922786925779,0.015927374982150244,**,-0.2495293174207528,-0.02574249436929342,13910,2047,41,23.001252555917507
dep_top5,volatility,exp_2002Q1_2007Q3,9,0.4801492545746597,0.19052163122127475,2.520182361954517,0.01175395373179211,**,0.10672685738096116,0.8535716517683583,7186,871,23,22.379292755486507
dep_top5,volatility,exp_2020Q3_2023Q4,6,-0.3089307529418965,0.14078114723684504,-2.1944042864074884,0.028285159785095937,**,-0.5848618015261128,-0.03299970435768018,4050,1125,14,18.228299874386696
