dep_var,cycle,size_decile,beta_ind_own,se_ind_own,t_ind_own,p_ind_own,stars,ci95_lo,ci95_hi,nobs,entities,time_periods
amihud_illiq,exp_1993Q1_2000Q4,2,0.690894710420505,2.055346617185179,0.33614510790724594,0.737580221697816,,-3.337584659262446,4.719374080103456,170,74,8
amihud_illiq,exp_1993Q1_2000Q4,3,-1.8919397961176634,5.861197111422403,-0.3227906791311656,0.7479398533601103,,-13.379886134505572,9.596006542270246,168,96,8
amihud_illiq,exp_1993Q1_2000Q4,4,-0.5964871113987957,0.9196073496094022,-0.6486323882167211,0.517869168271262,,-2.398917516633224,1.2059432938356325,261,137,7
amihud_illiq,exp_1993Q1_2000Q4,5,0.8899834175203335,1.8452025770697564,0.48232287802982426,0.6300217492483493,,-2.726613633536389,4.506580468577056,495,248,8
amihud_illiq,exp_1993Q1_2000Q4,6,0.08513616664192149,0.42762323120074025,0.19909153766708199,0.8422859058189884,,-0.7530053665115294,0.9232776997953723,792,355,8
amihud_illiq,exp_1993Q1_2000Q4,7,-0.04833918305325544,0.1060995516418729,-0.4556021425653043,0.6488851796630346,,-0.2562943042713263,0.15961593816481545,881,398,8
amihud_illiq,exp_1993Q1_2000Q4,8,-0.08566352135449548,0.03559635455646722,-2.406525118143929,0.016615331462310312,**,-0.15543237628517123,-0.01589466642381973,641,276,8
amihud_illiq,exp_1993Q1_2000Q4,9,0.031796231141601225,0.02872697767567581,1.1068421990150485,0.2688194247843434,,-0.024508645102723367,0.08810110738592582,817,225,8
amihud_illiq,exp_1993Q1_2000Q4,10,0.0078847012040555,0.0047447967604307886,1.6617574159993387,0.09676789940722763,*,-0.001415100446388845,0.017184502854499847,1854,326,8
amihud_illiq,exp_2002Q1_2007Q3,1,4.113027337828493,10.27652596476317,0.40023519153569137,0.6909199288808008,,-16.028963553107317,24.255018228764307,97,28,23
amihud_illiq,exp_2002Q1_2007Q3,2,-6.088204344156857,1.6092956157032043,-3.783148530791548,0.00017916322042199617,***,-9.242423750935137,-2.9339849373785767,558,143,23
amihud_illiq,exp_2002Q1_2007Q3,3,-0.6590898905630452,0.8668649430445727,-0.7603143902073289,0.4473111659431406,,-2.3581451789304078,1.0399653978043175,1085,327,23
amihud_illiq,exp_2002Q1_2007Q3,4,0.313345387219338,0.20985574050594857,1.493146608541099,0.13556209571792288,,-0.09797186417232118,0.7246626386109972,2736,779,23
amihud_illiq,exp_2002Q1_2007Q3,5,0.0903683910718078,0.07140297259662706,1.265611049309124,0.20572082677645143,,-0.04958143521758124,0.23031821736119684,5525,1193,23
amihud_illiq,exp_2002Q1_2007Q3,6,0.09469292135651483,0.04143469114446682,2.285353618936293,0.022327711082386292,**,0.013480926713359861,0.1759049159996698,7340,1464,23
amihud_illiq,exp_2002Q1_2007Q3,7,0.03476460986310756,0.009710615798090936,3.5800623344548477,0.0003458347789269123,***,0.015731802898849324,0.053797416827365795,8443,1403,23
amihud_illiq,exp_2002Q1_2007Q3,8,0.009543841902769546,0.004523676408750848,2.109753448391537,0.03491531477307186,**,0.0006774361416178841,0.018410247663921207,8164,1201,23
amihud_illiq,exp_2002Q1_2007Q3,9,-0.000307747367141933,0.002250797978616864,-0.1367281160129025,0.8912500800314329,,-0.004719311405230986,0.0041038166709471205,7188,872,23
amihud_illiq,exp_2002Q1_2007Q3,10,-0.0015020868061796926,0.0005287044726182257,-2.8410707379514464,0.004509182108018983,***,-0.002538347572511415,-0.0004658260398479703,7613,567,23
amihud_illiq,exp_2009Q3_2019Q3,1,-6.713677252473207,9.183762216027459,-0.7310377919799066,0.46726764194576154,,-24.713851195887028,11.286496690940613,156,46,40
amihud_illiq,exp_2009Q3_2019Q3,2,0.060220219792734495,0.9387305562640188,0.06415069733364204,0.9488652996103226,,-1.7796916704847425,1.9001321100702113,1161,267,41
amihud_illiq,exp_2009Q3_2019Q3,3,-0.31102747430763117,0.28467728358744704,-1.0925616206116773,0.27469597825505043,,-0.8689949501390273,0.246940001523765,3155,712,41
amihud_illiq,exp_2009Q3_2019Q3,4,-0.10498540318350863,0.041722927491871675,-2.516252082358352,0.011888453677154853,**,-0.1867623410675771,-0.02320846529944015,6978,1272,41
amihud_illiq,exp_2009Q3_2019Q3,5,-0.05598581241593582,0.030023908063833416,-1.8647076955106965,0.062260231027901236,*,-0.11483267222104931,0.0028610473891776747,9401,1623,41
amihud_illiq,exp_2009Q3_2019Q3,6,0.0016343660184060583,0.011119144795469653,0.1469866656536354,0.8831457653072543,,-0.02015915778071446,0.023427889817526578,11191,1946,41
