dep_var,ind_own,pred_level,delta_from_median
amihud_illiq,0.01017436609322027,0.026781298194783077,0.007445803166293275
amihud_illiq,0.011164398401557968,0.026781298194783077,0.007445803166293275
amihud_illiq,0.012154430709895666,0.026781298194783077,0.007445803166293275
amihud_illiq,0.013144463018233361,0.026781298194783077,0.007445803166293275
amihud_illiq,0.014134495326571059,0.026781298194783077,0.007445803166293275
amihud_illiq,0.015124527634908756,0.026781298194783077,0.007445803166293275
amihud_illiq,0.016114559943246454,0.02434799779845706,0.005012502769967259
amihud_illiq,0.01710459225158415,0.02434799779845706,0.005012502769967259
amihud_illiq,0.01809462455992185,0.02434799779845706,0.005012502769967259
amihud_illiq,0.019084656868259546,0.02434799779845706,0.005012502769967259
amihud_illiq,0.020074689176597244,0.02434799779845706,0.005012502769967259
amihud_illiq,0.02106472148493494,0.02434799779845706,0.005012502769967259
amihud_illiq,0.02205475379327264,0.02434799779845706,0.005012502769967259
amihud_illiq,0.023044786101610336,0.02434799779845706,0.005012502769967259
amihud_illiq,0.024034818409948033,0.02434799779845706,0.005012502769967259
amihud_illiq,0.02502485071828573,0.02434799779845706,0.005012502769967259
amihud_illiq,0.026014883026623428,0.02434799779845706,0.005012502769967259
amihud_illiq,0.027004915334961126,0.019335495028489802,0.0
amihud_illiq,0.027994947643298823,0.019335495028489802,0.0
amihud_illiq,0.02898497995163652,0.019335495028489802,0.0
amihud_illiq,0.029975012259974218,0.019335495028489802,0.0
amihud_illiq,0.030965044568311915,0.019335495028489802,0.0
amihud_illiq,0.03195507687664961,0.019335495028489802,0.0
amihud_illiq,0.03294510918498731,0.019335495028489802,0.0
amihud_illiq,0.033935141493325,0.019335495028489802,0.0
amihud_illiq,0.0349251738016627,0.019335495028489802,0.0
amihud_illiq,0.035915206110000396,0.019335495028489802,0.0
amihud_illiq,0.03690523841833809,0.019335495028489802,0.0
amihud_illiq,0.03789527072667579,0.019335495028489802,0.0
amihud_illiq,0.03888530303501349,0.019335495028489802,0.0
amihud_illiq,0.039875335343351186,0.019335495028489802,0.0
amihud_illiq,0.04086536765168888,0.019335495028489802,0.0
amihud_illiq,0.04185539996002658,0.019335495028489802,0.0
amihud_illiq,0.04284543226836428,0.019335495028489802,0.0
amihud_illiq,0.043835464576701975,0.019335495028489802,0.0
amihud_illiq,0.04482549688503967,0.019114250404052506,-0.00022124462443729592
amihud_illiq,0.04581552919337737,0.019114250404052506,-0.00022124462443729592
amihud_illiq,0.04680556150171507,0.019114250404052506,-0.00022124462443729592
amihud_illiq,0.047795593810052765,0.019114250404052506,-0.00022124462443729592
amihud_illiq,0.04878562611839046,0.019114250404052506,-0.00022124462443729592
amihud_illiq,0.04977565842672816,0.019114250404052506,-0.00022124462443729592
amihud_illiq,0.05076569073506586,0.019114250404052506,-0.00022124462443729592
amihud_illiq,0.051755723043403555,0.019114250404052506,-0.00022124462443729592
amihud_illiq,0.05274575535174125,0.019114250404052506,-0.00022124462443729592
amihud_illiq,0.05373578766007895,0.019114250404052506,-0.00022124462443729592
amihud_illiq,0.05472581996841665,0.019114250404052506,-0.00022124462443729592
amihud_illiq,0.055715852276754345,0.019114250404052506,-0.00022124462443729592
amihud_illiq,0.05670588458509204,0.019114250404052506,-0.00022124462443729592
amihud_illiq,0.05769591689342973,0.019114250404052506,-0.00022124462443729592
amihud_illiq,0.05868594920176743,0.019114250404052506,-0.00022124462443729592
amihud_illiq,0.05967598151010513,0.019114250404052506,-0.00022124462443729592
amihud_illiq,0.060666013818442825,0.019114250404052506,-0.00022124462443729592
amihud_illiq,0.06165604612678052,0.019114250404052506,-0.00022124462443729592
amihud_illiq,0.06264607843511823,0.019114250404052506,-0.00022124462443729592
amihud_illiq,0.06363611074345592,0.019114250404052506,-0.00022124462443729592
amihud_illiq,0.06462614305179362,0.019114250404052506,-0.00022124462443729592
amihud_illiq,0.06561617536013131,0.019114250404052506,-0.00022124462443729592
amihud_illiq,0.06660620766846902,0.019114250404052506,-0.00022124462443729592
amihud_illiq,0.06759623997680671,0.019114250404052506,-0.00022124462443729592
amihud_illiq,0.06858627228514441,0.019114250404052506,-0.00022124462443729592
amihud_illiq,0.0695763045934821,0.019114250404052506,-0.00022124462443729592
