feature,importance,perm_r2,base_r2,dep_var
c_dollar_vol,0.13228035092106538,0.22987266228651893,0.3621530132075843,amihud_illiq
cusip_mean_c_firm_size,0.07295724343149546,0.28919576977608885,0.3621530132075843,amihud_illiq
cusip_mean_c_dollar_vol,0.0498852307732085,0.3122677824343758,0.3621530132075843,amihud_illiq
c_firm_size,0.04953794646602816,0.31261506674155615,0.3621530132075843,amihud_illiq
ind_own,0.02672357840195394,0.33542943480563037,0.3621530132075843,amihud_illiq
cusip_mean_ind_own,0.0178360723613028,0.3443169408462815,0.3621530132075843,amihud_illiq
date_mean_c_dollar_vol,0.0009263457826341748,0.36122666742495013,0.3621530132075843,amihud_illiq
date_mean_c_firm_size,0.00045085193100691257,0.3617021612765774,0.3621530132075843,amihud_illiq
date_mean_ind_own,0.0004467668437777572,0.36170624636380655,0.3621530132075843,amihud_illiq
date_idx,-0.0007790792876565256,0.36293209249524083,0.3621530132075843,amihud_illiq
c_firm_size,0.1111496026239267,0.05825808824220935,0.16940769086613605,volatility
date_mean_c_firm_size,0.06687239844275183,0.10253529242338422,0.16940769086613605,volatility
date_mean_c_dollar_vol,0.06666653819291912,0.10274115267321693,0.16940769086613605,volatility
date_mean_ind_own,0.041414816993556536,0.12799287387257952,0.16940769086613605,volatility
date_idx,0.017897284093363997,0.15151040677277205,0.16940769086613605,volatility
c_dollar_vol,0.017536599013914467,0.15187109185222158,0.16940769086613605,volatility
cusip_mean_c_firm_size,0.01202978921143627,0.15737790165469978,0.16940769086613605,volatility
ind_own,0.0033546093511720443,0.166053081514964,0.16940769086613605,volatility
cusip_mean_ind_own,0.0017730149170811504,0.1676346759490549,0.16940769086613605,volatility
cusip_mean_c_dollar_vol,-8.398203485526778e-06,0.16941608906962158,0.16940769086613605,volatility
c_firm_size,0.054505865034648715,0.1289447798219182,0.18345064485656692,price_info
ind_own,0.045922451604911485,0.13752819325165544,0.18345064485656692,price_info
date_mean_c_firm_size,0.030694488014748278,0.15275615684181865,0.18345064485656692,price_info
cusip_mean_c_firm_size,0.02864484165425485,0.15480580320231208,0.18345064485656692,price_info
date_mean_ind_own,0.024941594337357764,0.15850905051920916,0.18345064485656692,price_info
date_mean_c_dollar_vol,0.016228020422251688,0.16722262443431524,0.18345064485656692,price_info
c_dollar_vol,0.00434236757012163,0.1791082772864453,0.18345064485656692,price_info
cusip_mean_ind_own,0.00380246985202215,0.17964817500454477,0.18345064485656692,price_info
cusip_mean_c_dollar_vol,4.951377415118863e-05,0.18340113108241574,0.18345064485656692,price_info
date_idx,-0.00017270163657834292,0.18362334649314527,0.18345064485656692,price_info
