cycle,dep_var,coef,se,pval,stars,ci95_lo,ci95_hi,nobs,entities,time_periods
exp_1993Q1_2000Q4,amihud_illiq,-0.16846714484122105,0.8366808808949054,0.8404322195152396,,-1.8083616713952355,1.4714273817127936,6115,1379,8
exp_1993Q1_2000Q4,price_info,-0.36543293509226826,8.402587662636341,0.9653125184174829,,-16.8345047538595,16.10363888367496,5691,1339,8
exp_1993Q1_2000Q4,volatility,0.5400523341631084,0.45623117044518724,0.236583091991033,,-0.3541607599094586,1.4342654282356753,5965,1360,8
exp_2002Q1_2007Q3,amihud_illiq,0.3346121729053617,0.09605075548491059,0.0004949991380953644,***,0.14635269215493696,0.5228716536557865,48749,3609,23
exp_2002Q1_2007Q3,price_info,-12.118045669225861,1.2562799201117345,0.0,***,-14.580354312644861,-9.65573702580686,48663,3607,23
exp_2002Q1_2007Q3,volatility,-0.05127778026394849,0.06681730947869255,0.4428283837806313,,-0.18223970684218588,0.07968414631428888,48698,3604,23
exp_2009Q3_2019Q3,amihud_illiq,0.07505385084677271,0.026037003937181388,0.0039450955510895724,***,0.024021323129897194,0.12608637856364824,108482,5494,41
exp_2009Q3_2019Q3,price_info,-3.33622772452546,0.4004050110999553,0.0,***,-4.121021546281373,-2.551433902769548,108345,5480,41
exp_2009Q3_2019Q3,volatility,-0.007815407546858028,0.022983994139457724,0.7338293877077384,,-0.052864036060195164,0.03723322096647911,108305,5486,41
exp_2020Q3_2023Q4,amihud_illiq,-0.010414098542227796,0.029738058655872365,0.7261945853516782,,-0.06870069350773764,0.04787249642328204,48115,4683,14
exp_2020Q3_2023Q4,price_info,-4.410855319907324,0.6464634273426823,9.029443859276398e-12,***,-5.677923637498981,-3.1437870023156673,48000,4675,14
exp_2020Q3_2023Q4,volatility,-0.2624209626532961,0.06426535815534534,4.446185416906445e-05,***,-0.388381064637773,-0.13646086066881924,47952,4666,14
rec_2001Q1_2001Q4,amihud_illiq,-0.21317589153348027,0.4746183103292468,0.6533515721778853,,-1.143427779778804,0.7170759967118434,4823,1546,4
rec_2001Q1_2001Q4,price_info,-3.093039141260227,9.165862032092562,0.7358027812712415,,-21.058128724161648,14.872050441641193,4177,1513,4
rec_2001Q1_2001Q4,volatility,-1.1041472774590606,0.5036333137885644,0.028424870378617184,**,-2.0912685724846467,-0.1170259824334745,4759,1545,4
rec_2007Q4_2009Q2,amihud_illiq,-0.7730383789906233,0.1819152401256987,2.158182734035563e-05,***,-1.1295922496369928,-0.4164845083442539,15512,2687,7
rec_2007Q4_2009Q2,price_info,-5.550834962668311,2.0208775037771365,0.006027409021275076,***,-9.5117548700715,-1.589915055265124,15491,2684,7
rec_2007Q4_2009Q2,volatility,0.4931244774736351,0.16398198214888787,0.0026419081784907483,***,0.17171979246181485,0.8145291624854554,15459,2683,7
rec_2019Q4_2020Q2,amihud_illiq,-0.05204678574779425,0.021506337527368944,0.015546970938378424,**,-0.09419920730143738,-0.009894364194151122,9403,3362,3
rec_2019Q4_2020Q2,price_info,-1.3344934160929063,1.7290465516137017,0.44025788927295073,,-4.723424657255761,2.0544378250699493,9391,3354,3
rec_2019Q4_2020Q2,volatility,-0.6090040844823529,0.18526712119418362,0.0010178083268124194,***,-0.9721276420229528,-0.245880526941753,9377,3353,3
