cycle,dep_var,rhs_var,coef,se,pval,stars,ci95_lo,ci95_hi,nobs,entities,time_periods
exp_1993Q1_2000Q4,amihud_illiq,ind_own,-0.16846714484122105,0.8366808808949054,0.8404322195152396,,-1.8083616713952355,1.4714273817127936,6115,1379,8
exp_1993Q1_2000Q4,amihud_illiq,c_firm_size,-0.017224396945226136,0.0071839248139034025,0.016540074446253827,**,-0.03130488958047681,-0.0031439043099754684,6115,1379,8
exp_1993Q1_2000Q4,amihud_illiq,c_dollar_vol,-0.005218656487834258,0.00392581277451752,0.18380699915624255,,-0.012913249525888598,0.002475936550220082,6115,1379,8
exp_1993Q1_2000Q4,volatility,ind_own,0.5400523341631084,0.45623117044518724,0.236583091991033,,-0.3541607599094586,1.4342654282356753,5965,1360,8
exp_1993Q1_2000Q4,volatility,c_firm_size,-0.07964993351646092,0.007167298516259749,0.0,***,-0.09369783860833003,-0.06560202842459181,5965,1360,8
exp_1993Q1_2000Q4,volatility,c_dollar_vol,0.08084837983899484,0.007918143856621858,0.0,***,0.065328817880016,0.09636794179797369,5965,1360,8
exp_1993Q1_2000Q4,price_info,ind_own,-0.36543293509226826,8.402587662636341,0.9653125184174829,,-16.8345047538595,16.10363888367496,5691,1339,8
exp_1993Q1_2000Q4,price_info,c_firm_size,-0.5010730753160509,0.1568876755138994,0.0014140089923362353,***,-0.8085729193232938,-0.1935732313088081,5691,1339,8
exp_1993Q1_2000Q4,price_info,c_dollar_vol,0.21262654273081932,0.038198079008039065,2.7569895255652455e-08,***,0.13775830787506277,0.2874947775865759,5691,1339,8
rec_2001Q1_2001Q4,amihud_illiq,ind_own,-0.21317589153348027,0.4746183103292468,0.6533515721778853,,-1.143427779778804,0.7170759967118434,4823,1546,4
rec_2001Q1_2001Q4,amihud_illiq,c_firm_size,-0.010672040152838513,0.007549910820286427,0.15759453125770562,,-0.025469865360599912,0.004125785054922884,4823,1546,4
rec_2001Q1_2001Q4,amihud_illiq,c_dollar_vol,-0.008205849879012492,0.005347875420105341,0.12502477886618113,,-0.01868768570241896,0.0022759859443939757,4823,1546,4
rec_2001Q1_2001Q4,volatility,ind_own,-1.1041472774590606,0.5036333137885644,0.028424870378617184,**,-2.0912685724846467,-0.1170259824334745,4759,1545,4
rec_2001Q1_2001Q4,volatility,c_firm_size,-0.07221486344696311,0.01952461413516409,0.00022037555116782848,***,-0.11048310715188472,-0.033946619742041495,4759,1545,4
rec_2001Q1_2001Q4,volatility,c_dollar_vol,0.07492745860422013,0.0059634881721462255,0.0,***,0.06323902178681354,0.08661589542162673,4759,1545,4
rec_2001Q1_2001Q4,price_info,ind_own,-3.093039141260227,9.165862032092562,0.7358027812712415,,-21.058128724161648,14.872050441641193,4177,1513,4
rec_2001Q1_2001Q4,price_info,c_firm_size,-0.4448089187529162,0.10871667794187635,4.41439585832093e-05,***,-0.6578936075189938,-0.2317242299868386,4177,1513,4
rec_2001Q1_2001Q4,price_info,c_dollar_vol,0.1674851423353974,0.09111509831500036,0.0661487222352708,*,-0.0111004503620033,0.3460707350327981,4177,1513,4
exp_2002Q1_2007Q3,amihud_illiq,ind_own,0.3346121729053617,0.09605075548491059,0.0004949991380953644,***,0.14635269215493696,0.5228716536557865,48749,3609,23
exp_2002Q1_2007Q3,amihud_illiq,c_firm_size,0.009558541456359948,0.002131963000782301,7.3627815428967125e-06,***,0.005379893974826638,0.013737188937893259,48749,3609,23
exp_2002Q1_2007Q3,amihud_illiq,c_dollar_vol,-0.022663068300278956,0.003037279562060699,8.704148513061227e-14,***,-0.028616136241917927,-0.016710000358639985,48749,3609,23
exp_2002Q1_2007Q3,volatility,ind_own,-0.05127778026394849,0.06681730947869255,0.4428283837806313,,-0.18223970684218588,0.07968414631428888,48698,3604,23
exp_2002Q1_2007Q3,volatility,c_firm_size,-0.08075614281449889,0.004550384892739447,0.0,***,-0.0896748972042682,-0.07183738842472957,48698,3604,23
exp_2002Q1_2007Q3,volatility,c_dollar_vol,0.06326606274206711,0.001859568841955512,0.0,***,0.05962130781183431,0.06691081767229992,48698,3604,23
