dep_var,window_start_q,window_end_q,window_end_date,beta_ind_own,se_ind_own,pval_ind_own,ci95_lo,ci95_hi,nobs,entities,time_periods
amihud_illiq,1999Q1,2002Q4,2002-12-31 23:59:59.999999,0.04814489147299743,0.2685667539450799,0.8577312438548819,-0.4782459462593592,0.574535729205354,17557,2484,16
amihud_illiq,1999Q2,2003Q1,2003-03-31 23:59:59.999999,0.03806310275611246,0.24808077838425774,0.8780608920635204,-0.4481752228770327,0.5243014283892576,18655,2536,16
amihud_illiq,1999Q3,2003Q2,2003-06-30 23:59:59.999999,0.08610190050688767,0.22179246501845326,0.697865924284419,-0.3486113309292807,0.5208151319430561,19910,2613,16
amihud_illiq,1999Q4,2003Q3,2003-09-30 23:59:59.999999,0.1337954608616176,0.20806513981312597,0.5202022108115547,-0.2740122131721093,0.5416031348953445,21213,2705,16
amihud_illiq,2000Q1,2003Q4,2003-12-31 23:59:59.999999,0.2782810804362398,0.18502120986798173,0.1325846681193774,-0.08436049090500441,0.640922651777484,22372,2711,16
amihud_illiq,2000Q2,2004Q1,2004-03-31 23:59:59.999999,0.366678524773348,0.1349336642526884,0.006583676725946175,0.10220854283807873,0.6311485067086173,23799,2866,16
amihud_illiq,2000Q3,2004Q2,2004-06-30 23:59:59.999999,0.3123505991574367,0.10369782578421291,0.0025971924591390305,0.10910286062037938,0.5155983376944939,25153,2907,16
amihud_illiq,2000Q4,2004Q3,2004-09-30 23:59:59.999999,0.33895632220126126,0.13485037593839252,0.011957952383561343,0.07464958536201194,0.6032630590405106,27096,2966,16
amihud_illiq,2001Q1,2004Q4,2004-12-31 23:59:59.999999,0.3249725574028135,0.11782818456185046,0.005819409462336722,0.09402931566158662,0.5559157991440404,28406,2980,16
amihud_illiq,2001Q2,2005Q1,2005-03-31 23:59:59.999999,0.36666224754557625,0.11065684937584414,0.0009225585757213217,0.14977482276892173,0.5835496723222308,29785,2972,16
amihud_illiq,2001Q3,2005Q2,2005-06-30 23:59:59.999999,0.37288537772634556,0.10790530592930331,0.0005497384066481814,0.16139097810491107,0.58437977734778,31008,3083,16
amihud_illiq,2001Q4,2005Q3,2005-09-30 23:59:59.999999,0.3773781255800647,0.10678659229311815,0.0004100442204668653,0.16807640468555315,0.5866798464745763,31947,3099,16
amihud_illiq,2002Q1,2005Q4,2005-12-31 23:59:59.999999,0.37512557223738985,0.10974471890126311,0.0006312957847731671,0.16002592319091416,0.5902252212838656,32783,3122,16
amihud_illiq,2002Q2,2006Q1,2006-03-31 23:59:59.999999,0.35383823814327175,0.11575014855274948,0.002238229483382037,0.12696794697988278,0.5807085293066607,33502,3145,16
amihud_illiq,2002Q3,2006Q2,2006-06-30 23:59:59.999999,0.3564628380910256,0.12314477578763397,0.003798292918159474,0.115099077547263,0.5978265986347882,34099,3177,16
amihud_illiq,2002Q4,2006Q3,2006-09-30 23:59:59.999999,0.2323097884445245,0.11165042866523041,0.03747048162571831,0.013474948260672887,0.4511446286283761,34719,3258,16
amihud_illiq,2003Q1,2006Q4,2006-12-31 23:59:59.999999,0.12805794021442507,0.07394670709940711,0.0833259682294405,-0.016877605700412857,0.272993486129263,35245,3247,16
amihud_illiq,2003Q2,2007Q1,2007-03-31 23:59:59.999999,0.059775998435292105,0.032641784544829446,0.0670690431079426,-0.0042018992725736115,0.12375389614315782,35790,3257,16
amihud_illiq,2003Q3,2007Q2,2007-06-30 23:59:59.999999,0.06732694992167465,0.03438951119338501,0.05026478610944163,-7.649201735995814e-05,0.13473039186070926,36187,3307,16
amihud_illiq,2003Q4,2007Q3,2007-09-30 23:59:59.999999,0.04817789502546636,0.02927241857705742,0.09980495264594547,-0.00919604538556619,0.1055518354364989,36493,3387,16
amihud_illiq,2004Q1,2007Q4,2007-12-31 23:59:59.999999,0.02386868895692404,0.03664247078386832,0.5147966185211745,-0.047950553779457866,0.09568793169330594,36722,3400,16
amihud_illiq,2004Q2,2008Q1,2008-03-31 23:59:59.999999,-0.018155368631688873,0.0533240610946448,0.7335029876073125,-0.12267052837719268,0.08635979111381493,36659,3363,16
amihud_illiq,2004Q3,2008Q2,2008-06-30 23:59:59.999999,-0.06759698000995028,0.06103896451794533,0.2681118397967335,-0.18723335046512313,0.05203939044522256,36553,3334,16
amihud_illiq,2004Q4,2008Q3,2008-09-30 23:59:59.999999,-0.2002784803209096,0.10367588522285401,0.053395815837536276,-0.4034832153577035,0.00292625471588423,36535,3434,16
amihud_illiq,2005Q1,2008Q4,2008-12-31 23:59:59.999999,-0.46094240995550634,0.21106360504103713,0.028976408621308458,-0.8746270758359391,-0.04725774407507355,36446,3455,16
