dep_var,nobs,n_firms,n_dates,beta_ind_own,se_ind_own,t_ind_own,p_ind_own,beta_ind_own_sq,se_ind_own_sq,t_ind_own_sq,p_ind_own_sq,turning_point,turning_point_se,turning_in_q01_q99,ind_own_q01,ind_own_q99,first_stage_jointF_ind_own,first_stage_jointP_ind_own,first_stage_jointF_ind_own_sq,first_stage_jointP_ind_own_sq,cutoff,bandwidth,excluded_instruments,controls,min_first_stage_F
amihud_illiq,3009,539,99,0.025913237430288838,0.049786681979896726,0.5204853265930093,0.602725352419792,0.1025217915109291,0.23906477645000707,0.42884524032911364,0.6680358531841,-0.12637916802071497,0.4963294031288922,False,0.010385243984220817,0.15952391701494478,0.932093657038012,0.4241125014070799,1.052013552036712,0.3681868339966716,1000.0,50.0,z_cutoff_x_running_pow0;z_cutoff_x_running_pow1;z_cutoff_x_running_pow2,c_firm_size;c_dollar_vol;running_pow1;running_pow2,0.932093657038012
volatility,3005,539,99,-3.092469129868391,5.798889135428447,-0.5332864722270477,0.593835290549523,23.243345176053026,26.115141372329752,0.8900332892963186,0.3734480114915728,0.0665237534968606,0.07839990622103295,True,0.010385089383414708,0.15953388613905134,0.9837510070629071,0.3992022271521275,1.0863883937729069,0.353366648544194,1000.0,50.0,z_cutoff_x_running_pow0;z_cutoff_x_running_pow1;z_cutoff_x_running_pow2,c_firm_size;c_dollar_vol;running_pow1;running_pow2,0.9837510070629071
price_info,2987,534,99,34.745167504691835,76.67661817875685,0.4531390185165722,0.6504486405081391,-162.96312073649642,396.9850389100508,-0.4105019201326142,0.681437795240627,0.1066043879979235,0.1658566326378862,True,0.010456615248653744,0.1596493773240685,0.9940219776284055,0.3943985297071809,1.1395307266390378,0.33147493565388597,1000.0,50.0,z_cutoff_x_running_pow0;z_cutoff_x_running_pow1;z_cutoff_x_running_pow2,c_firm_size;c_dollar_vol;running_pow1;running_pow2,0.9940219776284055
amihud_illiq,6135,791,99,-0.08837700716970076,0.09916647730342051,-0.8911984127387411,0.37282273580051917,0.5567105339402687,0.4895865418896988,1.1371034256609378,0.2554950520419723,0.07937429039126374,0.03434710602578974,True,0.010393371965717133,0.1564020974053489,0.8127342705070092,0.4865628018932777,1.3540065886906012,0.2548445239162962,1000.0,100.0,z_cutoff_x_running_pow0;z_cutoff_x_running_pow1;z_cutoff_x_running_pow2,c_firm_size;c_dollar_vol;running_pow1;running_pow2,0.8127342705070092
volatility,6129,791,99,-4.302275153544883,6.27408522242667,-0.6857215037765877,0.49288874387527604,28.962652746893582,32.69887474454284,0.8857385146480369,0.37575844895081345,0.07427280904036541,0.043290707741815045,True,0.010392768304622128,0.1564081195439008,0.820048444952131,0.48253678952139734,1.3647861233346548,0.25145374375583174,1000.0,100.0,z_cutoff_x_running_pow0;z_cutoff_x_running_pow1;z_cutoff_x_running_pow2,c_firm_size;c_dollar_vol;running_pow1;running_pow2,0.820048444952131
price_info,6093,786,99,-0.6189629594173311,62.97486210863078,-0.00982873068224633,0.9921579337989739,33.91017671023292,332.3104428831779,0.10204366861306814,0.9187220134300276,0.009126507430298197,0.847376328749194,False,0.01046370688888885,0.1564699502137565,0.8290301965250587,0.4776286211940658,1.3737078464772114,0.24867851719933343,1000.0,100.0,z_cutoff_x_running_pow0;z_cutoff_x_running_pow1;z_cutoff_x_running_pow2,c_firm_size;c_dollar_vol;running_pow1;running_pow2,0.8290301965250587
amihud_illiq,9081,950,99,0.14074261896847418,0.13714752944832062,1.0262133013596009,0.3047910529570388,-0.7455103326071644,0.6634075880129097,-1.1237591279897405,0.26111522492800066,0.09439347304300638,0.026504184882383996,True,0.01037711666666658,0.16126131223958332,1.4580497541464592,0.22379435419440874,1.1118086291587395,0.34274237782985484,1000.0,150.0,z_cutoff_x_running_pow0;z_cutoff_x_running_pow1;z_cutoff_x_running_pow2,c_firm_size;c_dollar_vol;running_pow1;running_pow2,1.1118086291587395
volatility,9069,950,99,5.406208602391416,7.7681725982464345,0.6959434196418085,0.48646426411741195,-26.38034558146137,36.37474772109455,-0.7252378981081649,0.4683060967316406,0.10246659934187134,0.030483578313640295,True,0.010376886666666588,0.16126882458333325,1.4554404427721064,0.224528572549076,1.1124410321970204,0.34248165554482646,1000.0,150.0,z_cutoff_x_running_pow0;z_cutoff_x_running_pow1;z_cutoff_x_running_pow2,c_firm_size;c_dollar_vol;running_pow1;running_pow2,1.1124410321970204
price_info,9011,945,99,113.99091053366374,139.863556913677,0.8150150979216,0.41506366797000216,-491.271363872278,653.603197515435,-0.7516354964904781,0.4522702906414633,0.11601623757913497,0.03411149477272931,True,0.010390562480539609,0.16130513424479154,1.516287358056138,0.20797309168831046,1.1443104351923716,0.3295654477512171,1000.0,150.0,z_cutoff_x_running_pow0;z_cutoff_x_running_pow1;z_cutoff_x_running_pow2,c_firm_size;c_dollar_vol;running_pow1;running_pow2,1.1443104351923716
amihud_illiq,12432,1068,99,0.04888128018503002,0.09078093624925117,0.5384531401044371,0.5902642479440972,-0.1979618052206007,0.36516956293967234,-0.542109270079842,0.587743233023029,0.1234613922886758,0.036985128708527305,True,0.010384550570010238,0.16241022176307968,2.306678307367617,0.07449067999744086,2.05092372078107,0.104409574885022,1000.0,200.0,z_cutoff_x_running_pow0;z_cutoff_x_running_pow1;z_cutoff_x_running_pow2,c_firm_size;c_dollar_vol;running_pow1;running_pow2,2.05092372078107
