dep_var,nobs,n_firms,n_dates,beta_ind_own,se_ind_own,t_ind_own,p_ind_own,beta_ind_own_sq,se_ind_own_sq,t_ind_own_sq,p_ind_own_sq,turning_point,turning_point_se,turning_in_q01_q99,ind_own_q01,ind_own_q99,first_stage_jointF_ind_own,first_stage_jointP_ind_own,first_stage_jointF_ind_own_sq,first_stage_jointP_ind_own_sq,cutoff,bandwidth,excluded_instruments,controls
amihud_illiq,9081,950,99,0.14074261896847418,0.13714752944832062,1.0262133013596009,0.3047910529570388,-0.7455103326071644,0.6634075880129097,-1.1237591279897405,0.26111522492800066,0.09439347304300638,0.026504184882383996,True,0.01037711666666658,0.16126131223958332,1.4580497541464592,0.22379435419440874,1.1118086291587395,0.34274237782985484,1000.0,150.0,z_cutoff_x_running_pow0;z_cutoff_x_running_pow1;z_cutoff_x_running_pow2,c_firm_size;c_dollar_vol;running_pow1;running_pow2
volatility,9069,950,99,5.406208602391416,7.7681725982464345,0.6959434196418085,0.48646426411741195,-26.38034558146137,36.37474772109455,-0.7252378981081649,0.4683060967316406,0.10246659934187134,0.030483578313640295,True,0.010376886666666588,0.16126882458333325,1.4554404427721064,0.224528572549076,1.1124410321970204,0.34248165554482646,1000.0,150.0,z_cutoff_x_running_pow0;z_cutoff_x_running_pow1;z_cutoff_x_running_pow2,c_firm_size;c_dollar_vol;running_pow1;running_pow2
price_info,9011,945,99,113.99091053366374,139.863556913677,0.8150150979216,0.41506366797000216,-491.271363872278,653.603197515435,-0.7516354964904781,0.4522702906414633,0.11601623757913497,0.03411149477272931,True,0.010390562480539609,0.16130513424479154,1.516287358056138,0.20797309168831046,1.1443104351923716,0.3295654477512171,1000.0,150.0,z_cutoff_x_running_pow0;z_cutoff_x_running_pow1;z_cutoff_x_running_pow2,c_firm_size;c_dollar_vol;running_pow1;running_pow2
