dep_var,cutoff,bandwidth,bw_label,nobs,n_firms,n_dates,n_clusters,beta_endog,se_endog,t_endog,p_endog,first_stage_f,first_stage_p
amihud_illiq,1000.0,50.0,50,3009,539,99,539,0.07437472524263011,0.056334614092543964,1.3202313788899072,0.18675777836869534,2.4582000680598957,0.11691268540814637
volatility,1000.0,50.0,50,3005,539,99,539,2.4288211384888996,3.305659309747476,0.7347463579586005,0.4624939816447853,2.4542575162678744,0.11720657886775987
price_info,1000.0,50.0,50,2987,534,99,534,21.338374748559545,52.761530827339286,0.40443054653567223,0.6858961413645144,2.4221924608307583,0.11962739696215996
amihud_illiq,1000.0,100.0,100,6135,791,99,791,0.006651329422279806,0.022027591857148303,0.30195445173555563,0.7626867853865822,2.164787459477206,0.14120414534849512
volatility,1000.0,100.0,100,6129,791,99,791,3.8670510670171154,3.388569528468491,1.1412045804368902,0.25378479868525905,2.1877976488810185,0.1391080945134422
price_info,1000.0,100.0,100,6093,786,99,786,16.88833425741973,35.31933167121597,0.47816120686063646,0.6325354710273898,2.3033374295055644,0.12909634743393283
amihud_illiq,1000.0,150.0,150,9081,950,99,950,0.09241112265877138,0.159547983428387,0.5792058330856312,0.5624502954135577,0.43184116813459983,0.5110868953278063
volatility,1000.0,150.0,150,9069,950,99,950,13.775544271471517,22.557406104008503,0.610688312652383,0.5414059448003605,0.4274404328908526,0.5132475688681799
price_info,1000.0,150.0,150,9011,945,99,945,29.616203971863797,111.45906028226132,0.26571374186058166,0.7904596792572489,0.38701191836754456,0.5338742609564067
amihud_illiq,1000.0,200.0,200,12432,1068,99,1068,0.004990180179477388,0.037015527053821044,0.13481316022385964,0.892759600476629,2.143186892768477,0.1432041302528957
volatility,1000.0,200.0,200,12417,1068,99,1068,4.193795734815524,4.052122028265466,1.0349628430639097,0.3006862642046684,2.153207739374524,0.14227237157214567
price_info,1000.0,200.0,200,12336,1063,99,1063,21.71152942001936,41.51914994150762,0.5229280813939271,0.601024302018919,2.2643519408838553,0.13238157943194784
amihud_illiq,1000.0,300.0,300,19556,1276,99,1276,0.04740642298338571,0.5740451225021674,0.08258309516985177,0.9341830434542995,0.02052659043136072,0.8860761278824905
volatility,1000.0,300.0,300,19525,1275,99,1275,-10.872031759477977,73.82572754741908,-0.1472661647999981,0.8829219378356541,0.023801412768189187,0.8773912803238355
price_info,1000.0,300.0,300,19400,1270,99,1270,322.27727957765455,1071.8428366958815,0.30067587200668644,0.7636616692272102,0.09654466863631699,0.7560162439776741
amihud_illiq,1000.0,500.0,500,36777,1761,99,1761,0.4971034221554298,2.2070201985048366,0.22523736868932892,0.8217946202230291,0.05355468646590628,0.8169894184851136
volatility,1000.0,500.0,500,36707,1761,99,1761,20.938048462790903,98.3810589400456,0.2128260123277465,0.8314626736139492,0.045198510139760784,0.8316394298280347
price_info,1000.0,500.0,500,36428,1756,99,1756,109.62542347041017,543.8554932578421,0.20157086731573512,0.8402522222219642,0.05031042017114675,0.8225239973206833
amihud_illiq,1000.0,,global,235544,8627,99,8627,0.23187154473947835,0.14495065918175684,1.599658435831806,0.1096743772717983,27.791134091444988,1.3514400754033318e-07
volatility,1000.0,,global,234897,8605,99,8605,-1.4849767343088907,0.40902857741475707,-3.6304962936687835,0.00028287676704996656,27.300198265495194,1.7419354869652182e-07
price_info,1000.0,,global,234281,8614,99,8614,-5.880786784746675,4.015917453337538,-1.4643694381365548,0.1430930338583385,28.48637363544279,9.436025272258064e-08
amihud_illiq,2000.0,50.0,50,4947,937,99,937,-3.9919726899571657,33.366548530503934,-0.11963996474815716,0.9047683597914113,0.014397377100205536,0.90449180568132
volatility,2000.0,50.0,50,4941,936,99,936,-0.5604310077178525,22.897874284904972,-0.024475241707799352,0.9804735320531721,0.011159402572485608,0.9158695154644338
price_info,2000.0,50.0,50,4922,934,99,934,93.06776187925243,784.7418495660752,0.11859665943738627,0.9055949120568454,0.017993234875397994,0.8932927681843501
amihud_illiq,2000.0,100.0,100,10458,1448,99,1448,0.6954570302971845,3.800276289204091,0.18300170234276236,0.8547966828988265,0.03902880516554799,0.8433916075596171
volatility,2000.0,100.0,100,10444,1447,99,1447,1.1773272288617136,13.902584395395834,0.08468405552363437,0.932512572276915,0.04838250528791869,0.8259021235770649
price_info,2000.0,100.0,100,10408,1442,99,1442,-108.90014373372833,520.3632999619762,-0.2092771410698753,0.8342318954617054,0.04628441974981669,0.8296596177806079
amihud_illiq,2000.0,150.0,150,15777,1786,99,1786,0.015314347222584068,0.22196996923846554,0.06899287896972965,0.9449952877530539,1.4196935275455285,0.23345385351560255
volatility,2000.0,150.0,150,15759,1786,99,1786,-0.7824387465390785,2.2575117484499034,-0.34659343282546895,0.7288967802953625,1.4724514834974727,0.2249593028160075
price_info,2000.0,150.0,150,15692,1781,99,1781,-3.998761658495699,34.00280291620405,-0.11760094214439268,0.9063838584045543,1.3147802504521786,0.25153098545548347
amihud_illiq,2000.0,200.0,200,21039,2015,99,2015,0.4609715917822115,2.0253998532376953,0.22759535162665637,0.8199608339895614,0.06635440736841226,0.7967206525170436
volatility,2000.0,200.0,200,21013,2015,99,2015,6.9003408854196095,34.45274731321399,0.2002841986065087,0.8412583198640533,0.045865064300928626,0.8304212706044598
price_info,2000.0,200.0,200,20921,2008,99,2008,115.01709802608548,502.9717092227033,0.22867508433791212,0.8191214615117974,0.06125921203661802,0.8045166611026371
amihud_illiq,2000.0,300.0,300,30804,2344,99,2344,-0.29346489720472135,0.5155925367869011,-0.5691798780361574,0.5692340746601607,0.7908227694965219,0.37385145399020625
