dep_var,ind_own,curve_value,ci_lo,ci_hi
amihud_illiq,0.010427407952586199,-0.014120803734750255,-0.08952795733343341,0.06128634986393291
amihud_illiq,0.010969542965911122,-0.013457610667170413,-0.08267408753236617,0.05575886619802535
amihud_illiq,0.011511677979236046,-0.012795278754995353,-0.07583927761828882,0.05024872010829812
amihud_illiq,0.01205381299256097,-0.012134626987976387,-0.06903634673951707,0.04476709276356429
amihud_illiq,0.012595948005885893,-0.011476474355864824,-0.06227925635622485,0.039326307644495205
amihud_illiq,0.013138083019210817,-0.010821639848411977,-0.055583835727143954,0.03394055603031999
amihud_illiq,0.01368021803253574,-0.010170942455369147,-0.048969132165225325,0.02862724725448703
amihud_illiq,0.014222353045860664,-0.009525201166487652,-0.04246010451551335,0.023409702182538045
amihud_illiq,0.014764488059185588,-0.008885234971518802,-0.03609347393248481,0.018323003989447206
amihud_illiq,0.015306623072510512,-0.008251862860213897,-0.029931843666247716,0.01342811794581992
amihud_illiq,0.015848758085835433,-0.0076259038223242545,-0.024102369458997994,0.008850561814349487
amihud_illiq,0.016390893099160357,-0.007008176847601179,-0.018916671392225713,0.004900317697023356
amihud_illiq,0.01693302811248528,-0.006399500925795982,-0.0152211464603901,0.0024221446087981362
amihud_illiq,0.017475163125810204,-0.0058006950466599734,-0.014514097038937135,0.002912706945617189
amihud_illiq,0.018017298139135128,-0.005212578199944461,-0.016710307828665664,0.006285151428776744
amihud_illiq,0.01855943315246005,-0.004635969375400757,-0.02020532464829737,0.010933385897495856
amihud_illiq,0.019101568165784975,-0.00407168756278017,-0.02412186251545508,0.015978487389894738
amihud_illiq,0.0196437031791099,-0.003520551751834002,-0.028141843303007345,0.02110073979933934
amihud_illiq,0.020185838192434823,-0.0029833809323135748,-0.03213737796196519,0.026170616097338038
amihud_illiq,0.020727973205759746,-0.00246099409397019,-0.036046651726426446,0.03112466353848607
amihud_illiq,0.02127010821908467,-0.0019542102265551553,-0.039834223765538024,0.035925803312427715
amihud_illiq,0.021812243232409594,-0.001463848319819788,-0.043476602804684225,0.040548906165044654
amihud_illiq,0.022354378245734517,-0.0009907273635153897,-0.046956290055933374,0.0449748353289026
amihud_illiq,0.02289651325905944,-0.000535666347393276,-0.05025904342210231,0.04918771072731575
amihud_illiq,0.023438648272384364,-9.948426120475188e-05,-0.053372508538801315,0.05317354001639182
amihud_illiq,0.023980783285709288,0.00031699990529887253,-0.05628548430006017,0.05691948411065792
amihud_illiq,0.024522918299034212,0.0007129671623662855,-0.058987505509546095,0.06041343983427866
amihud_illiq,0.025065053312359135,0.0010875985202461835,-0.06146859408415568,0.06364379112464805
amihud_illiq,0.02560718832568406,0.0014400749891872494,-0.0637191045991536,0.06659925457752809
amihud_illiq,0.026149323339008983,0.0017695775794381765,-0.06572962501658064,0.06926878017545698
amihud_illiq,0.026691458352333906,0.002075303249982954,-0.06749109390829199,0.07164170040825789
amihud_illiq,0.02723359336565883,0.0023570458215707024,-0.06900142265552421,0.07371551429866562
amihud_illiq,0.027775728378983754,0.002615361329136367,-0.0702673719653984,0.07549809462367113
amihud_illiq,0.028317863392308677,0.0028508554480178644,-0.07129635531725567,0.07699806621329139
amihud_illiq,0.0288599984056336,0.003064133853553121,-0.07209584849712651,0.07822411620423277
amihud_illiq,0.029402133418958525,0.0032558022210800526,-0.0726733745335861,0.07918497897574622
amihud_illiq,0.029944268432283448,0.003426466225936584,-0.07303649279895123,0.07988942525082439
amihud_illiq,0.030486403445608372,0.0035767315434606438,-0.07319279099197579,0.08034625407889706
amihud_illiq,0.031028538458933295,0.003707203848990141,-0.07314987915111824,0.08056428684909851
amihud_illiq,0.03157067347225822,0.0038184888178630035,-0.07291538512286257,0.08055236275858858
amihud_illiq,0.03211280848558314,0.003911192125417157,-0.07249695108864372,0.08031933533947803
amihud_illiq,0.032654943498908066,0.0039859194469905115,-0.07190223087268935,0.07987406976667039
amihud_illiq,0.03319707851223299,0.004043276457921002,-0.07113888783328408,0.07922544074912609
amihud_illiq,0.033739213525557914,0.0040838688335465365,-0.07021459319501731,0.0783823308621104
amihud_illiq,0.03428134853888284,0.0041083022492050475,-0.0691370247179504,0.0773536292163605
amihud_illiq,0.03482348355220776,0.004117182380234457,-0.06791386562676134,0.07614823038723025
amihud_illiq,0.035365618565532685,0.004111114901972676,-0.06655280374234658,0.07477503354629193
amihud_illiq,0.03590775357885761,0.004090705489757639,-0.06506153077243232,0.0732429417519476
amihud_illiq,0.03644988859218253,0.004056559818927257,-0.06344774172805873,0.07156086136591325
amihud_illiq,0.036992023605507456,0.00400928356481946,-0.06171913444043686,0.06973770157007578
amihud_illiq,0.03753415861883238,0.003949482402772164,-0.05988340915838196,0.06778237396392629
amihud_illiq,0.0380762936321573,0.0038777620081232914,-0.057948268210834736,0.06570379222708132
amihud_illiq,0.038618428645482226,0.003794728056210766,-0.05592141572225219,0.06351087183467373
amihud_illiq,0.03916056365880715,0.0037009862223725083,-0.05381055737116004,0.061212529815905053
amihud_illiq,0.039702698672132074,0.0035971421819464373,-0.05162340018409413,0.058817684547987
amihud_illiq,0.040244833685457,0.0034838016102704803,-0.049367652358660426,0.05633525557920139
amihud_illiq,0.04078696869878192,0.00336157018268255,-0.047051023110616444,0.053774163475981546
amihud_illiq,0.041329103712106845,0.0032310535745205815,-0.044681222540796386,0.05114332968983755
amihud_illiq,0.04187123872543177,0.0030928574611224845,-0.04226596151842312,0.04845167644066809
amihud_illiq,0.04241337373875669,0.0029475875178261875,-0.03981295157791828,0.045708126613570654
amihud_illiq,0.042955508752081616,0.002795849419969606,-0.03732990482676423,0.04292160366670344
amihud_illiq,0.04349764376540654,0.002638248842890665,-0.034824533862316535,0.04010103154809786
amihud_illiq,0.04403977877873146,0.0024753914619272876,-0.03230455169572592,0.0372553346195805
amihud_illiq,0.04458191379205639,0.0023078829524173926,-0.029777671681320755,0.03439343758615554
amihud_illiq,0.04512404880538131,0.002136328989698904,-0.027251607449929223,0.03152426542932703
amihud_illiq,0.045666183818706234,0.001961335249109741,-0.024734072844692947,0.02865674334291243
amihud_illiq,0.04620831883203116,0.0017835074059878284,-0.02223278185793793,0.025799796669913583
amihud_illiq,0.04675045384535608,0.001603451135671086,-0.019755448567625643,0.02296235083896781
amihud_illiq,0.047292588858681005,0.001421772113497435,-0.01730978707179902,0.020153331298793892
amihud_illiq,0.04783472387200593,0.0012390760148047976,-0.014903511419251655,0.017381663448861252
amihud_illiq,0.04837685888533085,0.001055968514931095,-0.012544335534372187,0.014656272564234378
amihud_illiq,0.048918993898655776,0.0008730552892142466,-0.010239973133717504,0.011986083712145998
amihud_illiq,0.0494611289119807,0.0006909420129921806,-0.007998137631317006,0.009380021657301367
amihud_illiq,0.05000326392530562,0.0005102343616028126,-0.0058265420289500625,0.006847010752155688
amihud_illiq,0.05054539893863055,0.00033153801038406853,-0.0037328987866012573,0.004395974807369395
amihud_illiq,0.05108753395195547,0.00015545842602396627,-0.0017249167296580642,0.0020358335817059967
amihud_illiq,0.051629668965280394,-1.755074318435356e-05,-0.00022693487888677855,0.0001918333925180714
amihud_illiq,0.05217180397860532,-0.00018745549093845807,-0.002392599961578145,0.002017688979701229
amihud_illiq,0.05271393899193024,-0.00035429370899772554,-0.004462587321036577,0.0037539999030411263
amihud_illiq,0.053256074005255165,-0.0005181032891215429,-0.006438322933195082,0.005402116354951997
amihud_illiq,0.05379820901858009,-0.0006789221230692879,-0.008321233122748847,0.006963388876610271
amihud_illiq,0.05434034403190501,-0.0008367881026003475,-0.010112744593504266,0.00843916838830357
amihud_illiq,0.054882479045229936,-0.000991739119474103,-0.011814284461929968,0.009830806222981762
amihud_illiq,0.05542461405855486,-0.0011438130654499376,-0.01342728029430827,0.011139654163408395
amihud_illiq,0.05596674907187978,-0.0012930478322872333,-0.014953160147945094,0.012367064483370625
amihud_illiq,0.05650888408520471,-0.0014394813117453724,-0.016393352616962537,0.013514389993471793
amihud_illiq,0.05705101909852963,-0.0015831513955837423,-0.017749286883277194,0.01458298409210971
amihud_illiq,0.057593154111854554,-0.0017240959755617142,-0.01902239277346035,0.015574200822336922
amihud_illiq,0.05813528912517948,-0.001862352943438676,-0.02021410082228311,0.016489394935405757
amihud_illiq,0.0586774241385044,-0.001997960190974021,-0.02132584234387905,0.01732992196193101
amihud_illiq,0.059219559151829325,-0.002130955609927114,-0.02235904951160583,0.018097138291751604
amihud_illiq,0.05976169416515425,-0.002261377092057353,-0.023315155447867986,0.01879240126375328
amihud_illiq,0.06030382917847917,-0.0023892625291241113,-0.024195594325374586,0.01941706926712636
amihud_illiq,0.060845964191804096,-0.0025146498128867773,-0.025001801481559862,0.01997250185578631
amihud_illiq,0.06138809920512902,-0.0026375768351047267,-0.025735213548199007,0.020460059877989552
amihud_illiq,0.06193023421845394,-0.0027580814875373476,-0.02639726859861616,0.02088110562354147
amihud_illiq,0.06247236923177887,-0.00287620166194402,-0.026989406315322897,0.02123700299143486
amihud_illiq,0.0630145042451038,-0.0029919752500841275,-0.027513068181458582,0.021529117681290327
amihud_illiq,0.06355663925842872,-0.0031054401437170523,-0.02796969770005317,0.021758817412619064
amihud_illiq,0.06409877427175364,-0.003216634234602178,-0.028360740645924636,0.02192747217672028
amihud_illiq,0.06464090928507857,-0.003325595414498889,-0.028687645355995224,0.022036454526997443
amihud_illiq,0.06518304429840349,-0.00343236157516656,-0.02895186306500707,0.022087139914673953
amihud_illiq,0.06572517931172842,-0.003536970608364584,-0.029154848295099445,0.022080907078370276
amihud_illiq,0.06626731432505334,-0.0036394604058523354,-0.029298059309552635,0.022019138497847965
amihud_illiq,0.06680944933837826,-0.0037398688593892043,-0.029382958643309476,0.02190322092453107
amihud_illiq,0.06735158435170319,-0.003838233860734566,-0.029411013725783416,0.021734546004314282
amihud_illiq,0.06789371936502811,-0.0039345933016478075,-0.029383697615128747,0.021514511011833132
amihud_illiq,0.06843585437835303,-0.0040289850738883075,-0.0293024898678137,0.021244519720037085
amihud_illiq,0.06897798939167796,-0.004121447069215453,-0.02916887757331026,0.020925983434879353
amihud_illiq,0.06952012440500288,-0.004212017179388626,-0.0289843565914146,0.020560322232637346
amihud_illiq,0.0700622594183278,-0.0043007332961672055,-0.028750433039706116,0.020148966447371703
amihud_illiq,0.07060439443165273,-0.00438763331131058,-0.0284686250917219,0.01969335846910074
amihud_illiq,0.07114652944497765,-0.004472755116578127,-0.028140465163643408,0.019194954930487153
amihud_illiq,0.07168866445830258,-0.004556136603729232,-0.02776750259016977,0.018655229382711306
amihud_illiq,0.0722307994716275,-0.004637815664523275,-0.027351306920904907,0.01807567559185836
amihud_illiq,0.07277293448495242,-0.00471783019071964,-0.026893472010031266,0.017457811628591984
amihud_illiq,0.07331506949827735,-0.0047962180740777115,-0.02639562112861715,0.016803184980461728
amihud_illiq,0.07385720451160227,-0.00487301720635687,-0.02585941340690874,0.016113378994195002
amihud_illiq,0.0743993395249272,-0.0049482654793164965,-0.02528655202265367,0.015390021064020678
amihud_illiq,0.07494147453825212,-0.005022000784715977,-0.024678794704663616,0.014634793135231661
amihud_illiq,0.07548360955157704,-0.005094261014314693,-0.024037967339169478,0.01384944531054009
