dep_var,cutoff,bandwidth,bw_label,nobs,n_firms,n_dates,n_clusters,beta_endog,se_endog,t_endog,p_endog,first_stage_f,first_stage_p
amihud_illiq,1000.0,,global,235544,8627,99,8627,0.23187154473947835,0.14495065918175684,1.599658435831806,0.1096743772717983,27.791134091444988,1.3514400754033318e-07
volatility,1000.0,,global,234897,8605,99,8605,-1.4849767343088907,0.40902857741475707,-3.6304962936687835,0.00028287676704996656,27.300198265495194,1.7419354869652182e-07
price_info,1000.0,,global,234281,8614,99,8614,-5.880786784746675,4.015917453337538,-1.4643694381365548,0.1430930338583385,28.48637363544279,9.436025272258064e-08
amihud_illiq,2000.0,,global,235544,8627,99,8627,-0.28492726570406046,0.07756663499918114,-3.6733225014475415,0.00023941700349761064,131.1625752854959,0.0
volatility,2000.0,,global,234897,8605,99,8605,-0.17671471657699334,0.12633874935590142,-1.3987372637288087,0.16189178540449634,128.97538604044416,0.0
price_info,2000.0,,global,234281,8614,99,8614,-12.086781865579788,1.7567704853760482,-6.880114372477366,5.980549389050793e-12,131.12463183884276,0.0
